rounds	row	columns	wordsize	kolumns	block	key	full-diffusion
17	2	6	8	11	96	176	16
21	2	6	8	15	96	240	14
13	2	6	9	7	108	126	12
22	2	6	8	16	96	256	14
12	2	6	9	6	108	108	14
15	2	6	9	9	108	162	18
14	2	6	9	8	108	144	14
16	2	6	9	10	108	180	14
17	2	6	9	11	108	198	14
21	2	6	9	15	108	270	14
18	2	6	9	12	108	216	12
19	2	6	9	13	108	234	12
20	2	6	9	14	108	252	12
22	2	6	9	16	108	288	18
12	2	6	10	6	120	120	16
14	2	6	10	8	120	160	14
15	2	6	10	9	120	180	12
13	2	6	10	7	120	140	16
18	2	6	10	12	120	240	12
16	2	6	10	10	120	200	14
17	2	6	10	11	120	220	14
20	2	6	10	14	120	280	12
19	2	6	10	13	120	260	12
21	2	6	10	15	120	300	12
15	2	6	11	9	132	198	14
13	2	6	11	7	132	154	12
16	2	6	11	10	132	220	14
12	2	6	11	6	132	132	14
22	2	6	10	16	120	320	14
14	2	6	11	8	132	176	18
17	2	6	11	11	132	242	12
18	2	6	11	12	132	264	12
20	2	6	11	14	132	308	12
19	2	6	11	13	132	286	12
21	2	6	11	15	132	330	14
22	2	6	11	16	132	352	14
14	2	6	12	8	144	192	14
13	2	6	12	7	144	168	16
12	2	6	12	6	144	144	14
17	2	6	12	11	144	264	14
16	2	6	12	10	144	240	14
18	2	6	12	12	144	288	12
15	2	6	12	9	144	216	16
19	2	6	12	13	144	312	12
20	2	6	12	14	144	336	12
22	2	6	12	16	144	384	12
